t,x,y,z,yaw
1788515948.508964,0.051711,-0.031496,0.000000,0.002390
1788515948.577018,0.051195,-0.031646,0.000000,0.002390
1788515948.640469,0.051552,-0.031214,0.000000,0.002390
1788515948.708082,0.051707,-0.030909,0.000000,0.002390
1788515948.775463,0.051294,-0.031090,0.000000,0.002390
1788515948.843133,0.051692,-0.031481,0.000000,0.002390
1788515948.906628,0.051731,-0.031166,0.000000,0.002390
1788515948.974188,0.052128,-0.030512,0.000000,0.002390
1788515949.042272,0.051457,-0.030358,0.000000,0.002390
1788515949.110173,0.050773,-0.030412,0.000000,0.002390
1788515949.177352,0.050638,-0.030143,0.000000,0.002142
1788515949.240646,0.050948,-0.030183,0.000000,0.001884
1788515949.308323,0.050724,-0.030315,0.000000,0.002095
1788515949.376441,0.050893,-0.029876,0.000000,0.001544
1788515949.439338,0.050778,-0.030498,0.000000,0.002378
1788515949.507171,0.050649,-0.030479,0.000000,0.001989
1788515949.575422,0.050598,-0.030057,0.000000,0.001896
1788515949.642467,0.050895,-0.030533,0.000000,0.002283
1788515949.706167,0.050763,-0.030463,0.000000,0.001639
1788515949.773696,0.050735,-0.030460,0.000000,0.001634
1788515949.841915,0.050647,-0.030841,0.000000,0.001615
1788515949.905165,0.050924,-0.030828,0.000000,0.001415
1788515949.973332,0.050508,-0.031717,0.000000,0.002346
1788515950.040744,0.050475,-0.031130,0.000000,0.002144
1788515950.108762,0.050621,-0.031032,0.000000,0.001723
1788515950.171064,0.050893,-0.031120,0.000000,0.001131
1788515950.238868,0.050352,-0.031099,0.000000,0.001940
1788515950.306307,0.050245,-0.031291,0.000000,0.001946
1788515950.374147,0.048975,-0.031573,0.000000,0.001946
1788515950.440030,0.049454,-0.031788,0.000000,0.001946
1788515950.505230,0.049738,-0.030802,0.000000,0.001946
1788515950.572878,0.049311,-0.030955,0.000000,0.001946
1788515950.641502,0.049911,-0.030835,0.000000,0.001946
1788515950.708917,0.049543,-0.030470,0.000000,0.001946
1788515950.771559,0.049324,-0.030406,0.000000,0.001946
1788515950.839180,0.049565,-0.030473,0.000000,0.002123
