t,x,y,z,yaw
1788515948.107427,0.004529,-0.001957,0.000000,-0.011320
1788515948.175843,0.004679,-0.001710,0.000000,-0.012516
1788515948.242837,0.004413,-0.002134,0.000000,-0.013288
1788515948.310422,0.005118,-0.002583,0.000000,-0.013288
1788515948.374243,0.004868,-0.002275,0.000000,-0.012143
1788515948.442278,0.004819,-0.001276,0.000000,-0.012989
1788515948.508964,0.005113,-0.002259,0.000000,-0.012643
1788515948.577018,0.004506,-0.002432,0.000000,-0.011262
1788515948.640469,0.004928,-0.001926,0.000000,-0.012844
1788515948.708082,0.005112,-0.001568,0.000000,-0.011931
1788515948.775463,0.004625,-0.001779,0.000000,-0.010686
1788515948.843133,0.005091,-0.002241,0.000000,-0.010686
1788515948.906628,0.005139,-0.001870,0.000000,-0.011663
1788515948.974188,0.005609,-0.001103,0.000000,-0.010686
1788515949.042272,0.004821,-0.000918,0.000000,-0.010686
1788515949.110173,0.004016,-0.000978,0.000000,-0.011600
1788515949.177352,0.003859,-0.000665,0.000000,-0.011600
1788515949.240646,0.004266,-0.000784,0.000000,-0.010909
1788515949.308323,0.004015,-0.000941,0.000000,-0.009873
1788515949.376441,0.004107,-0.000509,0.000000,-0.011118
1788515949.439338,0.004061,-0.001139,0.000000,-0.010026
1788515949.507171,0.003881,-0.001127,0.000000,-0.010026
1788515949.575422,0.003820,-0.000648,0.000000,-0.011271
1788515949.642467,0.004189,-0.001174,0.000000,-0.011271
1788515949.706167,0.003973,-0.001182,0.000000,-0.011759
1788515949.773696,0.003922,-0.001200,0.000000,-0.011161
1788515949.841915,0.003792,-0.001662,0.000000,-0.011161
1788515949.905165,0.004107,-0.001704,0.000000,-0.010316
1788515949.973332,0.003668,-0.002576,0.000000,-0.011088
1788515950.040744,0.003622,-0.001875,0.000000,-0.010242
1788515950.108762,0.003789,-0.001833,0.000000,-0.010242
1788515950.171064,0.004077,-0.002143,0.000000,-0.009470
1788515950.238868,0.003426,-0.002004,0.000000,-0.008779
1788515950.306307,0.003311,-0.002221,0.000000,-0.008779
1788515950.374147,0.001815,-0.002546,0.000000,-0.008779
1788515950.440030,0.002377,-0.002802,0.000000,-0.009975
1788515950.505230,0.002716,-0.001643,0.000000,-0.009630
1788515950.572878,0.002213,-0.001821,0.000000,-0.008293
1788515950.641502,0.002920,-0.001683,0.000000,-0.008891
1788515950.708917,0.002489,-0.001252,0.000000,-0.009804
1788515950.771559,0.002231,-0.001175,0.000000,-0.009804
1788515950.839180,0.002557,-0.001152,0.000000,-0.008560
1788515950.907074,0.002511,-0.000903,0.000000,-0.008560
1788515950.974749,0.002419,-0.000915,0.000000,-0.009250
1788515951.038043,0.002175,-0.001654,0.000000,-0.010164
1788515951.105599,0.002485,-0.000520,0.000000,-0.010854
1788515951.173699,0.002446,-0.000820,0.000000,-0.009609
1788515951.240945,0.002491,-0.001011,0.000000,-0.011153
1788515951.304528,0.002380,-0.001168,0.000000,-0.009462
1788515951.371874,0.002538,-0.001518,0.000000,-0.010060
1788515951.439576,0.002793,-0.001078,0.000000,-0.011525
1788515951.503060,0.002609,-0.001081,0.000000,-0.011179
1788515951.570812,0.002870,-0.000837,0.000000,-0.010691
1788515951.638500,0.003169,-0.001103,0.000000,-0.011382
1788515951.705982,0.003311,-0.000009,0.000000,-0.012072
1788515951.769592,0.003142,-0.000556,0.000000,-0.010528
1788515951.837070,0.003446,-0.000533,0.000000,-0.011724
1788515951.904788,0.003391,-0.000089,0.000000,-0.011034
1788515951.969280,0.004208,0.000255,0.000000,-0.011522
1788515952.035846,0.003586,-0.000182,0.000000,-0.011177
1788515952.103630,0.003517,-0.001319,0.000000,-0.009839
1788515952.171054,0.003720,-0.000355,0.000000,-0.011131
1788515952.234560,0.003960,-0.000216,0.000000,-0.010286
1788515952.302192,0.004077,-0.000101,0.000000,-0.010774
1788515952.370093,0.003998,-0.000318,0.000000,-0.011970
1788515952.437950,0.003923,-0.000435,0.000000,-0.011124
1788515952.505508,0.003594,-0.001175,0.000000,-0.011124
1788515952.568951,0.003853,-0.000231,0.000000,-0.012369
1788515952.636572,0.003755,-0.001014,0.000000,-0.012714
1788515952.704058,0.003872,-0.000935,0.000000,-0.012024
1788515952.771857,0.003404,-0.001810,0.000000,-0.012024
1788515952.835742,0.003369,-0.001609,0.000000,-0.012714
1788515952.902667,0.003799,-0.001581,0.000000,-0.011469
1788515952.970361,0.003990,-0.001351,0.000000,-0.012807
1788515953.037959,0.003160,-0.001475,0.000000,-0.011662
1788515953.101501,0.003254,-0.001385,0.000000,-0.010748
1788515953.169127,0.003452,-0.001791,0.000000,-0.009325
1788515953.240203,0.003151,-0.001013,0.000000,-0.010706
1788515953.301031,0.003289,-0.001794,0.000000,-0.010706
1788515953.368486,0.003407,-0.001365,0.000000,-0.009860
1788515953.436125,0.003313,-0.001050,0.000000,-0.009860
1788515953.503267,0.003112,-0.001185,0.000000,-0.010773
1788515953.568908,0.003537,-0.000983,0.000000,-0.010428
1788515953.634318,0.003459,-0.000889,0.000000,-0.009136
1788515953.704403,0.003194,-0.000832,0.000000,-0.010172
1788515953.765419,0.003555,-0.001849,0.000000,-0.009827
1788515953.833078,0.003390,-0.001556,0.000000,-0.008850
1788515953.901192,0.003342,-0.002036,0.000000,-0.008362
1788515953.968524,0.003335,-0.001510,0.000000,-0.009275
1788515954.031920,0.003659,-0.001547,0.000000,-0.009275
1788515954.102389,0.003232,-0.001502,0.000000,-0.007984
1788515954.167164,0.002835,-0.002365,0.000000,-0.007638
1788515954.234863,0.003331,-0.001370,0.000000,-0.008834
1788515954.302574,0.003254,-0.001051,0.000000,-0.007921
1788515954.365965,0.003417,-0.000994,0.000000,-0.008266
1788515954.433810,0.003687,-0.000553,0.000000,-0.008266
1788515954.501255,0.004002,-0.000516,0.000000,-0.008611
1788515954.568842,0.003537,-0.001597,0.000000,-0.007319
1788515954.632662,0.004279,-0.001130,0.000000,-0.008411
1788515954.699954,0.003804,-0.001340,0.000000,-0.007435
1788515954.767611,0.003939,-0.000545,0.000000,-0.008979
1788515954.835439,0.004068,-0.001187,0.000000,-0.007887
1788515954.898960,0.004650,-0.000594,0.000000,-0.008375
1788515954.966783,0.004300,-0.000414,0.000000,-0.008375
1788515955.036320,0.004515,-0.000836,0.000000,-0.009289
1788515955.097779,0.004427,-0.000619,0.000000,-0.008800
1788515955.165238,0.004702,-0.000541,0.000000,-0.008455
1788515955.232818,0.004916,-0.000982,0.000000,-0.009836
1788515955.296506,0.004506,-0.000572,0.000000,-0.008991
1788515955.365061,0.004881,-0.000242,0.000000,-0.009336
1788515955.432009,0.004886,-0.000362,0.000000,-0.008359
1788515955.499324,0.004901,-0.000481,0.000000,-0.007871
1788515955.566780,0.005231,-0.000539,0.000000,-0.007871
1788515955.631695,0.005601,-0.000588,0.000000,-0.008216
1788515955.699164,0.004972,-0.000690,0.000000,-0.008216
1788515955.772145,0.004962,-0.000783,0.000000,-0.007071
1788515955.829096,0.005000,-0.000543,0.000000,-0.006583
1788515955.898224,0.005255,-0.000006,0.000000,-0.007071
1788515955.964604,0.005132,0.000103,0.000000,-0.008107
1788515956.033196,0.005229,0.000199,0.000000,-0.006962
1788515956.100125,0.005131,0.000024,0.000000,-0.006617
1788515956.163102,0.005650,-0.000131,0.000000,-0.006617
1788515956.233653,0.006037,-0.000087,0.000000,-0.006617
1788515956.299436,0.005661,0.000113,0.000000,-0.007215
1788515956.366164,0.005867,-0.001515,0.000000,-0.006443
1788515956.429765,0.006111,-0.000892,0.000000,-0.005752
1788515956.499033,0.006886,-0.000835,0.000000,-0.005264
1788515956.565517,0.006490,-0.000759,0.000000,-0.006356
1788515956.633207,0.006511,-0.000537,0.000000,-0.005210
1788515956.696099,0.006710,-0.000645,0.000000,-0.005210
1788515956.763856,0.006660,-0.000116,0.000000,-0.005210
